index	position	strand	transcript_length	winner	feature	term_start	term_end	mfe	summary	GeneStart	GeneEnd	GeneLength	GeneLengthWithUTR	url_for_image
antisense_47	89335	+	43	COD	NA	NA	NA	NA	[['motif_0', 29, 0.000363]]	89338.0	89376.0	39.0	42.0	
antisense_48	89378	+	888	RNA	RhoDep	89421.0	89499.0	-3.8769199999999997	[['motif_0', 28, 4.13e-05]]	89378.0	89649.0	272.0	272.0	antisense_48_ss.jpg
antisense_50	94415	+	888	RNA	Intrinsic	95058.0	95079.0	-9.99231	[['motif_0', 29, 7.070000000000001e-05]]	94416.0	95079.0	664.0	665.0	antisense_50_ss.jpg
antisense_51	99428	+	60	COD	NA	NA	NA	NA	NA	99435.0	99470.0	36.0	43.0	
antisense_52	99488	+	888	RNA	RhoDep	99964.0	100042.0	-9.87692	NA	99541.0	100192.0	652.0	705.0	antisense_52_ss.jpg
antisense_58	105989	+	666	RNA	NA	NA	NA	-6.58462	NA	105990.0	106496.0	507.0	508.0	antisense_58_ss.jpg
antisense_67	137571	+	888	RNA	NA	NA	NA	-10.5462	[['motif_0', 30, 3.41e-05]]	138283.0	138312.0	30.0	742.0	antisense_67_ss.jpg
antisense_68	139631	+	888	RNA	RhoDep	140064.0	140142.0	-8.89231	[['motif_0', 29, 0.000991]]	139647.0	140292.0	646.0	662.0	antisense_68_ss.jpg
antisense_69	141624	+	888	RNA	RhoDep	141863.0	141941.0	-6.06923	[['motif_0', 32, 0.00295]]	141752.0	142091.0	340.0	468.0	antisense_69_ss.jpg
antisense_75	169230	+	888	RNA	RhoDep	169875.0	169953.0	-10.9923	[['motif_0', 29, 0.000472]]	169230.0	170103.0	874.0	874.0	antisense_75_ss.jpg
antisense_76	171691	+	888	RNA	NA	NA	NA	-6.90769	[['motif_0', 20, 0.0032600000000000003]]	172172.0	172225.0	54.0	535.0	antisense_76_ss.jpg
antisense_77	174232	+	656	RNA	NA	NA	NA	-6.706919999999999	[['motif_0', 8, 4.970000000000001e-05]]	174669.0	174803.0	135.0	572.0	antisense_77_ss.jpg
antisense_78	176666	+	467	RNA	Intrinsic	176995.0	177034.0	-6.5	[['motif_0', 29, 0.00435]]	176666.0	177034.0	369.0	369.0	antisense_78_ss.jpg
antisense_80	180109	+	888	RNA	RhoDep	180570.0	180648.0	-8.0	[['motif_0', 29, 9.85e-05]]	180342.0	180798.0	457.0	690.0	antisense_80_ss.jpg
antisense_81	182248	+	168	RNA	RhoDep	182377.0	182455.0	-3.90769	[['motif_0', 29, 0.0024100000000000002]]	182348.0	182605.0	258.0	358.0	antisense_81_ss.jpg
antisense_82	182416	+	448	RNA	RhoDep	182763.0	182841.0	-6.992310000000001	[['motif_0', 29, 0.0032600000000000003]]	182419.0	182991.0	573.0	576.0	antisense_82_ss.jpg
antisense_83	182864	+	793	RNA	NA	NA	NA	-9.86154	[['motif_0', 28, 0.000135]]	182864.0	183557.0	694.0	694.0	antisense_83_ss.jpg
antisense_85	188288	+	365	RNA	RhoDep	188639.0	188717.0	-6.4076900000000006	NA	188505.0	188867.0	363.0	580.0	antisense_85_ss.jpg
antisense_86	188653	+	888	RNA	NA	NA	NA	-11.3846	[['motif_0', 29, 4.970000000000001e-05]]	188653.0	189540.0	888.0	888.0	antisense_86_ss.jpg
antisense_87	192251	+	888	COD	RhoDep	192999.0	193077.0	NA	[['motif_0', 29, 3.41e-05]]	192339.0	193227.0	889.0	977.0	
antisense_88	193344	+	327	COD	RhoDep	193458.0	193536.0	NA	[['motif_0', 29, 2.7899999999999997e-05]]	193381.0	193686.0	306.0	343.0	
antisense_89	193671	+	888	RNA	RhoDep	193959.0	194037.0	-4.88462	[['motif_0', 29, 3.41e-05]]	193928.0	194187.0	260.0	517.0	antisense_89_ss.jpg
antisense_91	200840	+	776	RNA	NA	NA	NA	-9.569230000000001	[['motif_0', 30, 0.00157]]	200842.0	201614.0	773.0	775.0	antisense_91_ss.jpg
antisense_92	201616	+	445	RNA	Intrinsic	201774.0	201800.0	-2.44615	[['motif_0', 30, 0.00396]]	201616.0	201800.0	185.0	185.0	antisense_92_ss.jpg
antisense_93	202061	+	888	RNA	NA	NA	NA	-12.5538	NA	202061.0	202948.0	888.0	888.0	antisense_93_ss.jpg
antisense_100	220443	+	888	RNA	RhoDep	220529.0	220607.0	-4.35714	[['motif_0', 30, 0.000472]]	220452.0	220757.0	306.0	315.0	antisense_100_ss.jpg
antisense_101	222403	+	888	RNA	RhoDep	222709.0	222787.0	-5.85	[['motif_0', 29, 8.37e-05]]	222403.0	222937.0	535.0	535.0	antisense_101_ss.jpg
antisense_102	224268	+	72	RNA	NA	NA	NA	-0.128571	NA	224269.0	224289.0	21.0	22.0	antisense_102_ss.jpg
antisense_103	224340	+	641	COD	RhoDep	224473.0	224551.0	NA	[['motif_0', 3, 0.00267]]	224344.0	224701.0	358.0	362.0	
antisense_105	230116	+	316	RNA	NA	NA	NA	-2.38571	[['motif_0', 2, 0.00267]]	230263.0	230295.0	33.0	180.0	antisense_105_ss.jpg
antisense_106	230432	+	408	RNA	NA	NA	NA	-3.24286	NA	230709.0	230723.0	15.0	292.0	antisense_106_ss.jpg
antisense_107	230840	+	790	RNA	NA	NA	NA	-10.3214	NA	230845.0	231629.0	785.0	790.0	antisense_107_ss.jpg
antisense_109	233863	+	729	RNA	NA	NA	NA	-8.65	NA	233867.0	234591.0	725.0	729.0	antisense_109_ss.jpg
antisense_112	236401	+	888	RNA	RhoDep	237270.0	237348.0	-12.2436	[['motif_0', 28, 1.4599999999999999e-05]]	236870.0	237498.0	629.0	1098.0	antisense_112_ss.jpg
antisense_117	251105	+	117	RNA	NA	NA	NA	-0.621429	NA	251176.0	251184.0	9.0	80.0	antisense_117_ss.jpg
antisense_118	251222	+	888	RNA	NA	NA	NA	-10.7357	[['motif_0', 30, 0.00011499999999999999]]	251264.0	252084.0	821.0	863.0	antisense_118_ss.jpg
antisense_119	252444	+	888	COD	NA	NA	NA	NA	[['motif_0', 29, 0.00157]]	252446.0	253255.0	810.0	812.0	
antisense_126	264698	+	888	RNA	RhoDep	265516.0	265594.0	-13.1857	NA	264705.0	265744.0	1040.0	1047.0	antisense_126_ss.jpg
antisense_127	268845	+	798	RNA	NA	NA	NA	-7.6	NA	269423.0	269494.0	72.0	650.0	antisense_127_ss.jpg
antisense_128	269643	+	888	RNA	RhoDep	270511.0	270589.0	-14.0214	[['motif_0', 28, 0.00396]]	269700.0	270739.0	1040.0	1097.0	antisense_128_ss.jpg
antisense_129	270615	+	888	RNA	RhoDep	270942.0	271020.0	-7.24286	[['motif_0', 30, 0.000157]]	270620.0	271170.0	551.0	556.0	antisense_129_ss.jpg
antisense_130	271794	+	888	RNA	RhoDep	272425.0	272503.0	-12.4429	[['motif_0', 29, 2.7899999999999997e-05]]	271794.0	272653.0	860.0	860.0	antisense_130_ss.jpg
antisense_131	272947	+	142	RNA	NA	NA	NA	-1.7571400000000001	[['motif_0', 30, 0.000779]]	273043.0	273069.0	27.0	123.0	antisense_131_ss.jpg
antisense_132	273089	+	117	RNA	NA	NA	NA	0.0	[['motif_0', 29, 0.000537]]	273091.0	273105.0	15.0	17.0	antisense_132_ss.jpg
antisense_133	274008	+	414	RNA	NA	NA	NA	-4.3857099999999996	[['motif_0', 30, 0.000182]]	274008.0	274421.0	414.0	414.0	antisense_133_ss.jpg
antisense_134	277220	+	175	RNA	NA	NA	NA	-0.135714	[['motif_0', 29, 0.00175]]	277241.0	277267.0	27.0	48.0	antisense_134_ss.jpg
antisense_135	277395	+	888	COD	RhoDep	277463.0	277541.0	NA	[['motif_0', 28, 0.0014]]	277403.0	277691.0	289.0	297.0	
antisense_136	278557	+	888	RNA	RhoDep	279195.0	279273.0	-13.3071	[['motif_0', 29, 0.00031800000000000003]]	278586.0	279423.0	838.0	867.0	antisense_136_ss.jpg
antisense_137	281738	+	888	RNA	RhoDep	282625.0	282703.0	-15.3286	[['motif_0', 29, 0.00041500000000000006]]	281742.0	282853.0	1112.0	1116.0	antisense_137_ss.jpg
antisense_140	284958	+	126	RNA	NA	NA	NA	-1.32857	NA	285069.0	285080.0	12.0	123.0	antisense_140_ss.jpg
antisense_141	285084	+	888	COD	RhoDep	285397.0	285475.0	NA	[['motif_0', 28, 0.000135]]	285126.0	285625.0	500.0	542.0	
antisense_148	303181	+	888	RNA	RhoDep	303710.0	303788.0	-10.2571	[['motif_0', 31, 7.05e-06], ['motif_3', 5, 2e-06]]	303530.0	303938.0	409.0	758.0	antisense_148_ss.jpg
antisense_149	315202	+	888	RNA	Intrinsic	315363.0	315378.0	-2.22857	[['motif_0', 8, 0.0006889999999999999]]	315210.0	315378.0	169.0	177.0	antisense_149_ss.jpg
antisense_150	318239	+	856	RNA	Intrinsic	319061.0	319076.0	-8.94357	[['motif_0', 31, 0.00396]]	318883.0	319076.0	194.0	838.0	antisense_150_ss.jpg
antisense_155	328138	+	888	RNA	Intrinsic	328157.0	328177.0	-0.721429	[['motif_0', 29, 0.00157]]	328140.0	328177.0	38.0	40.0	antisense_155_ss.jpg
antisense_156	329308	+	698	RNA	RhoDep	329418.0	329496.0	-4.14286	NA	329309.0	329646.0	338.0	339.0	antisense_156_ss.jpg
antisense_157	335550	+	888	RNA	RhoDep	335915.0	335993.0	-7.67857	[['motif_0', 12, 8.37e-05]]	335562.0	336143.0	582.0	594.0	antisense_157_ss.jpg
antisense_158	339267	+	888	COD	NA	NA	NA	NA	NA	339511.0	339708.0	198.0	442.0	
antisense_159	340162	+	888	RNA	RhoDep	340229.0	340307.0	-3.94286	NA	340163.0	340457.0	295.0	296.0	antisense_159_ss.jpg
antisense_160	341822	+	94	RNA	NA	NA	NA	-0.75	[['motif_0', 29, 0.000537]]	341905.0	341916.0	12.0	95.0	antisense_160_ss.jpg
antisense_161	341916	+	888	RNA	NA	NA	NA	-3.8	NA	342179.0	342232.0	54.0	317.0	antisense_161_ss.jpg
antisense_166	350123	+	888	RNA	RhoDep	350661.0	350739.0	-11.0071	[['motif_0', 29, 0.000537]]	350141.0	350889.0	749.0	767.0	antisense_166_ss.jpg
antisense_169	361095	+	740	RNA	Intrinsic	361781.0	361813.0	-11.3286	[['motif_0', 30, 0.00157]]	361391.0	361813.0	423.0	719.0	antisense_169_ss.jpg
antisense_170	361835	+	806	RNA	RhoDep	362292.0	362370.0	-10.7786	NA	361835.0	362520.0	686.0	686.0	antisense_170_ss.jpg
antisense_171	362641	+	888	RNA	RhoDep	363323.0	363401.0	-11.4571	[['motif_0', 29, 1.67e-08]]	362642.0	363551.0	910.0	911.0	antisense_171_ss.jpg
antisense_172	365717	+	136	RNA	NA	NA	NA	-0.1	[['motif_0', 30, 0.0008789999999999999]]	365743.0	365757.0	15.0	41.0	antisense_172_ss.jpg
antisense_173	365853	+	575	RNA	NA	NA	NA	-5.05714	NA	366193.0	366237.0	45.0	385.0	antisense_173_ss.jpg
antisense_174	366428	+	439	RNA	NA	NA	NA	-0.1	[['motif_0', 28, 0.000609]]	366431.0	366451.0	21.0	24.0	antisense_174_ss.jpg
antisense_175	366867	+	441	RNA	NA	NA	NA	-4.59286	[['motif_0', 29, 0.0036]]	366867.0	367274.0	408.0	408.0	antisense_175_ss.jpg
antisense_177	374140	+	829	RNA	RhoDep	374731.0	374809.0	-12.2929	NA	374140.0	374959.0	820.0	820.0	antisense_177_ss.jpg
antisense_187	410949	+	404	RNA	NA	NA	NA	-2.32214	NA	411103.0	411132.0	30.0	184.0	antisense_187_ss.jpg
antisense_190	418308	+	317	RNA	Intrinsic	418318.0	418337.0	-0.14285699999999998	NA	418311.0	418337.0	27.0	30.0	antisense_190_ss.jpg
antisense_192	421628	+	888	RNA	NA	NA	NA	-11.9786	[['motif_4', 1, 7.52e-12]]	421635.0	422515.0	881.0	888.0	antisense_192_ss.jpg
antisense_193	423186	+	888	RNA	RhoDep	424006.0	424084.0	-13.7571	[['motif_0', 30, 0.000472]]	423189.0	424234.0	1046.0	1049.0	antisense_193_ss.jpg
antisense_194	424345	+	888	RNA	NA	NA	NA	-10.4214	[['motif_0', 29, 3.41e-05]]	424992.0	425060.0	69.0	716.0	antisense_194_ss.jpg
antisense_203	457683	+	277	RNA	NA	NA	NA	-1.9928599999999999	[['motif_0', 18, 0.0036]]	457822.0	457866.0	45.0	184.0	antisense_203_ss.jpg
antisense_209	464268	+	169	COD	NA	NA	NA	NA	[['motif_0', 29, 0.00041500000000000006]]	464287.0	464391.0	105.0	124.0	
antisense_210	464437	+	888	RNA	Intrinsic	464687.0	464701.0	-3.61429	[['motif_0', 29, 0.000779]]	464440.0	464701.0	262.0	265.0	antisense_210_ss.jpg
antisense_211	466156	+	792	RNA	RhoDep	466576.0	466654.0	-9.364289999999999	NA	466159.0	466804.0	646.0	649.0	antisense_211_ss.jpg
antisense_215	472455	+	888	RNA	RhoDep	472799.0	472877.0	-6.528569999999999	[['motif_0', 15, 0.00195]]	472722.0	473027.0	306.0	573.0	antisense_215_ss.jpg
antisense_216	473639	+	888	COD	RhoDep	474228.0	474306.0	NA	NA	473642.0	474456.0	815.0	818.0	
antisense_219	485343	+	888	RNA	Intrinsic	486038.0	486054.0	-9.042860000000001	[['motif_0', 26, 0.0008789999999999999]]	485345.0	486054.0	710.0	712.0	antisense_219_ss.jpg
antisense_220	486350	+	434	RNA	NA	NA	NA	-5.69286	[['motif_0', 14, 0.000609]]	486641.0	486673.0	33.0	324.0	antisense_220_ss.jpg
antisense_221	486784	+	535	COD	NA	NA	NA	NA	NA	486805.0	487239.0	435.0	456.0	
antisense_222	487319	+	888	RNA	NA	NA	NA	-11.9714	[['motif_0', 30, 0.00157]]	487628.0	488206.0	579.0	888.0	antisense_222_ss.jpg
antisense_236	518232	+	655	RNA	NA	NA	NA	-3.18571	[['motif_0', 29, 0.00175]]	518384.0	518473.0	90.0	242.0	antisense_236_ss.jpg
antisense_239	521349	+	387	RNA	RhoDep	521619.0	521697.0	-5.93571	NA	521558.0	521847.0	290.0	499.0	antisense_239_ss.jpg
antisense_240	521736	+	698	RNA	RhoDep	522174.0	522252.0	-8.67857	NA	521737.0	522402.0	666.0	667.0	antisense_240_ss.jpg
antisense_247	547563	+	184	RNA	NA	NA	NA	-2.25	[['motif_0', 30, 0.00195], ['motif_3', 18, 2.48e-06]]	547711.0	547740.0	30.0	178.0	antisense_247_ss.jpg
antisense_248	547747	+	804	RNA	RhoDep	548287.0	548365.0	-10.3143	[['motif_0', 30, 0.000779]]	547748.0	548515.0	768.0	769.0	antisense_248_ss.jpg
antisense_249	548551	+	888	RNA	Intrinsic	548957.0	548977.0	-5.25714	NA	548587.0	548977.0	391.0	427.0	antisense_249_ss.jpg
antisense_250	556087	+	100	RNA	NA	NA	NA	-0.7071430000000001	[['motif_0', 17, 1.4599999999999999e-05]]	556147.0	556176.0	30.0	90.0	antisense_250_ss.jpg
antisense_251	556187	+	51	COD	NA	NA	NA	NA	NA	556190.0	556204.0	15.0	18.0	
antisense_252	556238	+	799	RNA	RhoDep	556547.0	556625.0	-6.857139999999999	[['motif_0', 7, 0.00217]]	556241.0	556775.0	535.0	538.0	antisense_252_ss.jpg
antisense_253	557037	+	633	RNA	NA	NA	NA	-5.5	[['motif_0', 31, 0.000779]]	557445.0	557492.0	48.0	456.0	antisense_253_ss.jpg
antisense_254	557670	+	888	RNA	RhoDep	558183.0	558261.0	-8.485710000000001	[['motif_0', 30, 0.00125]]	557670.0	558411.0	742.0	742.0	antisense_254_ss.jpg
antisense_258	565912	+	888	RNA	NA	NA	NA	-13.6	[['motif_0', 31, 7.070000000000001e-05]]	565922.0	566799.0	878.0	888.0	antisense_258_ss.jpg
antisense_259	569360	+	240	RNA	RhoDep	569467.0	569545.0	-4.24286	[['motif_0', 29, 0.0024100000000000002]]	569400.0	569695.0	296.0	336.0	antisense_259_ss.jpg
antisense_260	569600	+	487	RNA	RhoDep	569780.0	569858.0	-5.0214300000000005	NA	569607.0	570008.0	402.0	409.0	antisense_260_ss.jpg
antisense_270	593784	+	888	COD	RhoDep	594652.0	594730.0	NA	NA	594421.0	594880.0	460.0	1097.0	
antisense_278	607100	+	888	RNA	RhoDep	607879.0	607957.0	-14.9921	NA	607554.0	608107.0	554.0	1008.0	antisense_278_ss.jpg
antisense_279	609784	+	569	COD	RhoDep	610166.0	610244.0	NA	[['motif_0', 29, 0.0008789999999999999]]	609908.0	610394.0	487.0	611.0	
antisense_280	610353	+	431	RNA	NA	NA	NA	-3.86429	[['motif_0', 29, 0.00041500000000000006]]	610698.0	610733.0	36.0	381.0	antisense_280_ss.jpg
antisense_281	610784	+	888	RNA	RhoDep	611632.0	611710.0	-14.2357	NA	610873.0	611860.0	988.0	1077.0	antisense_281_ss.jpg
antisense_282	612310	+	727	RNA	NA	NA	NA	-8.97857	NA	612984.0	613022.0	39.0	713.0	antisense_282_ss.jpg
antisense_283	613037	+	62	RNA	NA	NA	NA	-0.0928571	[['motif_0', 29, 0.00031800000000000003]]	613047.0	613061.0	15.0	25.0	antisense_283_ss.jpg
antisense_284	613099	+	87	RNA	NA	NA	NA	-0.378571	[['motif_0', 30, 7.070000000000001e-05]]	613148.0	613162.0	15.0	64.0	antisense_284_ss.jpg
antisense_285	613186	+	179	RNA	NA	NA	NA	-0.892857	NA	613278.0	613298.0	21.0	113.0	antisense_285_ss.jpg
antisense_286	613365	+	53	RNA	NA	NA	NA	0.0	[['motif_0', 30, 4.970000000000001e-05]]	613367.0	613381.0	15.0	17.0	antisense_286_ss.jpg
antisense_287	613418	+	888	RNA	RhoDep	614207.0	614285.0	-13.8857	NA	613430.0	614435.0	1006.0	1018.0	antisense_287_ss.jpg
antisense_288	617681	+	815	RNA	RhoDep	618152.0	618230.0	-10.0429	[['motif_0', 30, 0.000779]]	617969.0	618380.0	412.0	700.0	antisense_288_ss.jpg
antisense_297	631051	+	356	RNA	NA	NA	NA	-3.49286	[['motif_0', 30, 0.0032600000000000003]]	631284.0	631346.0	63.0	296.0	antisense_297_ss.jpg
antisense_300	634237	+	104	RNA	NA	NA	NA	0.0	NA	634250.0	634261.0	12.0	25.0	antisense_300_ss.jpg
antisense_301	634341	+	71	RNA	NA	NA	NA	-0.264286	[['motif_0', 30, 0.000609]]	634366.0	634392.0	27.0	52.0	antisense_301_ss.jpg
antisense_302	634412	+	709	RNA	NA	NA	NA	-0.564286	NA	634477.0	634506.0	30.0	95.0	antisense_302_ss.jpg
antisense_303	635121	+	507	RNA	NA	NA	NA	-6.92857	NA	635121.0	635586.0	466.0	466.0	antisense_303_ss.jpg
antisense_304	637080	+	106	RNA	NA	NA	NA	-0.43571400000000005	[['motif_0', 28, 0.000182]]	637123.0	637140.0	18.0	61.0	antisense_304_ss.jpg
antisense_305	637186	+	408	RNA	RhoDep	637471.0	637549.0	-7.68571	NA	637188.0	637699.0	512.0	514.0	antisense_305_ss.jpg
antisense_307	643625	+	638	RNA	NA	NA	NA	-2.75714	NA	643801.0	643875.0	75.0	251.0	antisense_307_ss.jpg
antisense_308	645230	+	888	RNA	Intrinsic	645331.0	645352.0	-0.807143	NA	645231.0	645352.0	122.0	123.0	antisense_308_ss.jpg
antisense_316	672776	+	888	RNA	NA	NA	NA	-11.5071	NA	672776.0	673663.0	888.0	888.0	antisense_316_ss.jpg
antisense_317	673786	+	634	RNA	RhoDep	674149.0	674227.0	-7.82143	[['motif_0', 29, 0.00295]]	673786.0	674377.0	592.0	592.0	antisense_317_ss.jpg
antisense_318	674420	+	888	RNA	NA	NA	NA	-1.35	[['motif_0', 29, 0.0024100000000000002]]	674538.0	674564.0	27.0	145.0	antisense_318_ss.jpg
antisense_337	712960	+	888	COD	RhoDep	713645.0	713723.0	NA	[['motif_0', 29, 0.0032600000000000003]]	713000.0	713873.0	874.0	914.0	
antisense_338	715525	+	888	RNA	NA	NA	NA	-11.3857	[['motif_0', 29, 0.00021]]	716160.0	716282.0	123.0	758.0	antisense_338_ss.jpg
antisense_339	717039	+	888	RNA	NA	NA	NA	-7.8978600000000005	[['motif_0', 29, 7.070000000000001e-05]]	717696.0	717737.0	42.0	699.0	antisense_339_ss.jpg
antisense_341	720944	+	888	RNA	NA	NA	NA	-12.2	NA	720947.0	721822.0	876.0	879.0	antisense_341_ss.jpg
antisense_343	721959	+	888	RNA	NA	NA	NA	-10.6714	[['motif_0', 29, 0.0008789999999999999]]	722635.0	722679.0	45.0	721.0	antisense_343_ss.jpg
antisense_344	723975	+	295	RNA	NA	NA	NA	-1.9285700000000001	NA	723991.0	724071.0	81.0	97.0	antisense_344_ss.jpg
antisense_345	724270	+	823	COD	Intrinsic	724974.0	725002.0	NA	[['motif_0', 28, 0.0024100000000000002]]	724270.0	725002.0	733.0	733.0	
antisense_346	725093	+	639	RNA	RhoDep	725449.0	725527.0	-8.06429	[['motif_0', 30, 0.00031800000000000003]]	725255.0	725677.0	423.0	585.0	antisense_346_ss.jpg
antisense_347	725732	+	600	RNA	NA	NA	NA	-4.71214	[['motif_0', 30, 0.0006889999999999999]]	726075.0	726134.0	60.0	403.0	antisense_347_ss.jpg
antisense_348	726332	+	888	RNA	RhoDep	727083.0	727161.0	-12.4143	[['motif_0', 29, 4.970000000000001e-05]]	726731.0	727311.0	581.0	980.0	antisense_348_ss.jpg
antisense_349	728280	+	323	RNA	NA	NA	NA	-3.4	NA	728280.0	728602.0	323.0	323.0	antisense_349_ss.jpg
antisense_366	747743	+	527	RNA	NA	NA	NA	-2.87857	[['motif_0', 29, 2.7899999999999997e-05]]	747981.0	747995.0	15.0	253.0	antisense_366_ss.jpg
